plot,Protein_ID,Motif,Genome_Type,Accession,Organism_Name,Family,Genome_length_bp,p_value,q_bh,filename
19,YP_010782993.1,Monomer,dsDNA,NC_075121,Betapolyomavirus securanorvegicus,Polyomaviridae,5104.0,0.510148985101,0.657649619653,HT-SELEX_YP_010782993.1_pwm.txt
20,YP_717937.1,Monomer,dsDNA,,,,,0.305469453055,0.531741825817,HT-SELEX_YP_717937.1_pwm.txt
21,YP_717939.1,Monomer,dsDNA,NC_001538,Betapolyomavirus hominis,Polyomaviridae,5153.0,0.288271172883,0.531741825817,HT-SELEX_YP_717939.1_pwm.txt
22,NP_050210.1,Dimer,dsDNA,NC_000898,Human betaherpesvirus 6B,Orthoherpesviridae,162114.0,0.00869913008699,0.0478452154785,HT-SELEX_NP_050210.1_pwm.txt
23,NP_570541.1,Dimer,dsDNA,NC_003391,Camelpox virus,Poxviridae,205719.0,0.001899810019,0.0156734326567,HT-SELEX_NP_570541.1_pwm.txt
24,YP_005271187.1,Dimer,dsDNA,,,,,0.000699930006999,0.00989901009899,HT-SELEX_YP_005271187.1_pwm.txt
25,AVM80381.1,Monomer,ssDNA,MF094135,Ambidensovirus sp.,Parvoviridae,3693.0,0.287671232877,0.531741825817,HT-SELEX_AVM80381.1_pwm.txt
26,YP_008431134.1,Monomer,ssDNA,NC_022089,Parvovirus NIH-CQV,Oomyviridae,3780.0,0.19098090191,0.531741825817,HT-SELEX_YP_008431134.1_pwm.txt
27,YP_009116878.1,Monomer,ssDNA,NC_026252,Human smacovirus 1,Smacoviridae,2460.0,0.500349965003,0.657649619653,HT-SELEX_YP_009116878.1_pwm.txt
28,YP_009508841.1,Monomer,ssDNA,NC_039061,Human associated huchismacovirus 1,Smacoviridae,2460.0,0.49095090491,0.657649619653,HT-SELEX_YP_009508841.1_pwm.txt
29,YP_009508864.1,Monomer,ssDNA,NC_039070,Human feces smacovirus 2,Smacoviridae,2601.0,0.518148185181,0.657649619653,HT-SELEX_YP_009508864.1_pwm.txt
30,YP_009058895.1,Dimer,ssDNA,NC_024888,Bufavirus-3,Parvoviridae,4733.0,0.000599940005999,0.00989901009899,HT-SELEX_YP_009058895.1_pwm.txt
31,YP_009508805.1,Dimer,ssDNA,NC_039050,Cutavirus,Parvoviridae,4456.0,0.000899910008999,0.00989901009899,HT-SELEX_YP_009508805.1_pwm.txt
32,YP_010796333.1,Dimer,ssDNA,NC_075988,Tusavirus 1,Parvoviridae,4424.0,0.002899710029,0.0191380861914,HT-SELEX_YP_010796333.1_pwm.txt
